text_a1,binary_annotation_a1,binary_annotation_a2,binary_annotation_a3
"Este planeta desértico y frío , cuenta con volcanes inactivos , y tiene no una , sino dos lunas : Deimos y Fobos . https://t.co/N9P9qjrYIb",0,0,1
"4 . Ni hablar de los límites de estabilidad que sobrepasamos . 

 ¡ Cinco de nueve ! Sobrepasamos cinco límites de los nueve que son . 👇 

 https://t.co/4EGGf1935J",1,0,0
"# AmbienteyNaturaleza | Cada 2 de febrero se celebra el # DiaMundialdelosHumedales ,   una fecha que busca crear consciencia sobre la importancia de estos ecosistemas de transición suelo-agua-vegetación . 🌱 🌱 🌱 
 https://t.co/thzqQAXFhQ",0,1,1
"-De acuerdo a la Organización Mundial de la Salud , la enfermedad de # Parkinson afecta a 1 de cada 100 personas mayores de 60 años . 

 -Se estima que para el año 2030 habrán unas 12 millones de pacientes con Parkinson .",0,0,1
"# Matemáticas | No te queremos asustar pero ... en México , más de 15 mil sismos ocurren durante un año , lo que significa que al día el piso se mueve bajo nuestros pies más de 40 veces 😵 ‍ 💫 # CienciaOtruco 
 https://t.co/MhkfNME8He",0,0,1
# ImagendeDía 📸 | La Tierra vista desde la nave # Orion en su camino a la órbita alrededor de la Luna . https://t.co/K7HRsxRKNU,0,0,0
"# Universo | ¡ Es tiempo de volver a la Luna ! Entre diversas organizaciones , lideradas por la @NASA_es ,   desarrollan el proyecto # Artemis que consta de 3 etapas . En 2022 , fue lanzada la primera . 
 https://t.co/lbeIyd7klU",0,0,1
# ImagendelDía 📸 | Regeneración de Margaritas de Papel Amarillo tras incendio en el Bosque Urriara . https://t.co/GxhTvEfzq2,0,0,0
"Escuche / descargue 20/12/11 Plantas Carnívoras ¿ Como funcionan ? . El Explicador . Cápsula . en https://t.co/aps3voGOfT Suscríbase al canal . Agradecemos su interés , comentarios , preguntas , apoyo y por compartir . Gracias por su apoyo al https://t.co/7g4bTfgHQm y Patreon .",0,0,1
"Los descubrimientos de Rosalyn Yalow contribuyeron en el estudio de la diabetes . 🩸 🍬 

 ✳ ️ Creía firmemente que las mujeres podían tener tanto una carrera como una familia . 

 Conoce más sobre diabetes 👉 https://t.co/3opMvczwOe https://t.co/ufhKiEA3WE",1,0,0
"La creación de un código de procesamiento para imágenes astronómicas le permitió a Alejandra Lugo Aranda del @iaunam ser la autora del primer artículo publicado en la revista RAS Techniques and Instruments ( RASTI ) , de la Royal Astronomical Society . 
 https://t.co/BOVU072QQm",0,0,0
"Aunque esta enfermedad causada por genética , no debes esperar a tener un problema grave de sueño para resolverlo . 

 https://t.co/LZGFOrWx6H",1,0,0
"El efecto Mpemba es el nombre de este increíble efecto realizado generalmente con agua 😱 

 https://t.co/J6h0jmajII",0,0,0
"¡ China coloca un rover en Marte ! 
 La Administración Espacial China confirmó el día de hoy el amartizaje exitoso del rover Zhurong en la región de Utopia Planitia . 
 La hazaña fue posible luego de que el orbitador de la misión Tianwen-1 analizara el suelo marciano durante tres meses https://t.co/DwQCdQCld8",1,1,1
"Además de las cosquillas , en las personas , la risa es una expresión de gozo , alegría o alivio . Pero también de algo muy humano : el humor . Lo que es gracioso para cada quien depende de la edad , la cultura y el lugar donde se encuentre .",0,0,0
"Si se lograra el trasplante seguirías siendo tú mismo , con tus recuerdos y pensamientos solo que en otro cuerpo . Lo malo es que hay varios escenarios poco alentadores de lo que podría pasar :",0,0,0
"El Fagradalsfjall ( "" la montaña del valle hermoso "" ) que se encuentra a unos 40 kilómetros de Reykjavik . A diferencia del Popocatépetl o el Anak Krakatau , la lava de este volcán es obscura ( basáltica ) y por lo tanto rica en magnesio y hierro .",0,0,1
👉 Propiedad de logaritmos : log A / B = log A – log B.,0,0,0
"¿ SERÁ ? Las drogas psicodélicas podrían tener efectos curativos en las personas , pero hasta hace poco estaba prohibido estudiarlas.¡CONSULTA ! Por tiempo limitado la revista ¿ cómo ves ? versión digital . https://t.co/Q1bWZcGjRi 
 # cvlasmejoreshistoriasdeciencia 
 https://t.co/EvTKbjXwM1 https://t.co/TjwsT35WS8",0,0,1
"¿ Quieres saber cuál es la relación entre la luz 💡 , el movimiento 🏃 y el sonido 🔊 ? 
 Estamos # EnVivo en @CaDistancia por 
 👉 https://t.co/3mQHDAe2Oq https://t.co/1PIc3ZpzCN",0,0,0
"¿ Qué sucesos clave han sucedido en el desarrollo de la biotecnología durante este siglo ? 🤔 🤔 🤔 

 No te pierdas mañana el # WebinardelaAMC por medio de las redes sociales de la @amciencias . https://t.co/q6MqFmDxKQ",0,0,1
"Las hormigas tienen un vocabulario de 20 diferentes “ palabras ” que dicen ¡ con el aroma ! 

 ¡ CuriosaMente ! 👁 ️ 🔍 🧠",1,1,1
"Imagina que estás intentando aprender un nuevo instrumento : al principio las neuronas involucradas comienzan a tener mucha actividad , y si esta actividad se mantiene se empiezan a liberar más neurotransmisores o puede que haya un incremento de receptores https://t.co/n2XuJghg1w",1,0,1
"# AmbienteyNaturaleza | Estudiar a los monos puede ayudar a entender la inteligencia humana 🦧 Escucha esta # Radiosfera y descubre por qué tenemos tanto en común con esta especie 🦧      # DíaInternacionaldelosPrimates 
 👉 https://t.co/hGr9Bt4HpI https://t.co/SFNYrnQBGK",0,0,0
"⭐ ️️ Muerte de estrellas masivas ⭐ ️️ https://t.co/JGMBp9lCb4 a través de @YouTube 
 Te contamos mas sobre la muerte de estrellas masivas en esta historia estelar . 
 # 2MinAstronomía 
 # AstronomíaEn2Minutos",1,1,1
"Escuche / descargue ( MP3 ) 21/07/06 Coronavirus Efectos en el Cerebro . Gracias por su apoyo a El Explicador : Patreon https://t.co/leMX8fIBDW , PayPal   elexplicadorpatrocinio@gmail.com , https://t.co/jivnRwnynT , https://t.co/6kLW6GIka7 Suscríbase ! !",0,0,0
"Júpiter es un planeta 317 veces mayor que la Tierra ; está compuesto de gases , salvo el núcleo sólido que es del tamaño de nuestro mundo . La atmósfera que fotografió Juno , un satélite de la NASA , muestra huracanes similares a los terrestres , con una intensidad mucho mayor.(NASA ) https://t.co/I3MUhDUhLe",0,1,0
"Al estudiar Máximos y Mínimos en una función , es importante resaltar que pueden ser “ relativos ” , ya que a veces sus gráficas tienen varios de ellos . No todo es una función cúbica 🤓 https://t.co/IBaDzDizze",0,0,1
"Ahora sí , ¿ Qué cosas curiosas podemos saber con una muestra de saliva ? 

 Con esa muestra de saliva , básicamente con los estudios de ADN se toman miles de partes de todo tu genoma y se comparan en bases de datos , con los resultados obtienes porcentajes de tu posible origen .",0,0,0
"# ImagendelDía 📸 | Dinosaurio pico de pato ( Hadrosaurio ) . Este fósil representa uno de los grupos de dinosaurios herbívoros más abundantes del territorio nacional , que existió hace más de 70 millones de años . Este ejemplar fue recuperado en Coahuila . https://t.co/4eb7gVs9k6",0,0,1
Las plantas sí ' hablan ' y un grupo de científicos lo acaba de comprobar https://t.co/TCsEWBReTP,1,1,1
"Los # virus no son cosa nueva , tienen influencia en la evolución de la vida desde hace millones de años y son las entidades biológicas más abundantes del planeta . 🦠 
 Te esperamos mañana en @CaDistancia por 
 👉 https://t.co/u1RNQ9ASEe https://t.co/LfXg771B4 K",0,0,1
"El hoyo negro con menor masa descubierto hasta hoy , posee 3 masas solares . Hoyos negros con poca masa capturan menos materia que los mayores , y por lo tanto son más difíciles de descubrir . Se detectan cuando influyen en otros astros , destruyéndolos , por ejemplo . ( Universe Today ) https://t.co/EoEICt0zOO",1,0,1
"# ImagendelDía  | La araña bananera es una especie araneomorfa de la familia Ctenidae . Puede ser tan larga como una mano . Tiene dos ojos grandes y dos menores a cada lado , dos largos quelíceros de color rojizo y patas gruesas y peludas . https://t.co/Lr0GmvN3ap",1,0,0
"🛑 ⚠ ️ Está es la primera evidencia visual del agujero negro que se encuentra en el centro de nuestra galaxia , la Vía Láctea . 🌌 

 Su nombre es Sagitario A * ( o Sgr A * para abreviar ) . Fue capturado por el Event Horizon Telescope ( EHT ) , un conjunto de ocho radiotelescopios 🔭 . https://t.co/uYD2pEAyrV",0,1,0
"# UnDíaComoHoy nació Jocelyn Bell Burnell . ✨ 

 Descubrió los primeros cuatro púlsares , estrellas de neutrones que emiten radiación periódica , cuando tenía 24 años y era estudiante en Cambridge . 

 🌟 Conoce más sobre # MujeresenlaCiencia 👉 https://t.co/X7TdwBy7UZ https://t.co/aXX0TY8Rnu",0,0,0
"La desmedida emisión de gases y aerosoles provocó que la capa de ozono empezara a adelgazarse . Más en el artículo "" Los límites del planeta "" Por Guillermo N. Murray Tortarolo . 
 https://t.co/Q1bWZcGjRi 
 # cvlasmejoreshistoriasdeciencia 
 Suscripciones : https://t.co/EvTKbjXwM1 https://t.co/uKThLelY2 K",0,1,1
"Esta imagen muestra las estrellas más cercanas a la Tierra , Alfa Centauri ( la más brillante de la imagen ) y Próxima Centauri ( la roja que está a la derecha ) . Esta última posee un planeta . ( Davide De Martin / Mahdi Zamani ) https://t.co/3cvLKvC46Q",0,0,1
"¿ Podemos esperar que las terapias alternativas logran algún día avances que cambien trascendentalmente nuestro presente y futuro ? Es muy probable que no 🤔 
 
 Consulta nuestro tema de portada del mes de octubre . 

 ¡ Ya disponible en puestos de periódicos! 📰 🏃 ‍ ♂ ️ 🏃 ‍ ♀ ️ https://t.co/7vDkJVY7Q7",0,0,0
"Recordamos el aniversario luctuoso de Alexander Von Humboldt. 🗺 ️ 

 Sus viajes de exploración y estudios científicos fueron tan extensos , que hoy llevan su nombre diversas especies de plantas y animales ; ríos , bahías , parques naturales , ¡ y hasta un cráter en la Luna ! 🌖 

 # MásCiencia https://t.co/GKHgl7d52V",0,0,0
"Con datos del telescopio SOFIA de la NASA que observa radiación en frecuencias infrarrojas se logró trazar el campo magnético de la galaxia espiral M51 . En las zonas de gran actividad de nacimiento estelar , rojas los campos magnéticos son más distorcionados . ( SOFIA / NASA ) https://t.co/kXUGMrPSVW",1,1,0
# ImagendelDía 📸 | Comparación de imágenes de la galaxia IC 5332 . @NASAHubble ( izquierda ) muestra regiones oscuras de polvo que separan los brazos espirales . @NASAWebb ( derecha ) puede ver a través del polvo en el espectro de luz infrarroja media . https://t.co/KywBea0YSr,0,0,1
"Pues sí . De hecho , miles de objetos colisionan con la Tierra regularmente . Se registran cerca de 40 lluvias de meteoros cada año . La mayoría del tamaño de guijarros o granos de arena .",1,1,0
2 . La langosta mantis tiene una vista que incluye 16 tipos de fotorreceptores que le permiten ver colores que ni nos podemos imaginar ( el ser humano tiene sólo 3 ) .,0,0,1
La NASA estrellará nave contra un asteroide EN VIVO https://t.co/aYI5KrhV3X,0,0,1
"Los humanos y musarañas chinas son los únicos mamíferos que consumen chile . Las musarañas tienen una mutación en su receptor TRPV1 que hace que el picor no sea tan intenso . Los humanos no tenemos esa mutación , sí sentimos el picor y nos gusta .",0,0,0
"# MateriayEnergía | ¡ El Museo de la Luz , pionero en su tipo , lleva 25 años divulgando ciencia ! Te invitamos a leer más en # CienciaUNAM . ✨ 
 https://t.co/Bg0GdhnHbT",0,1,0
"En 1982 , Mariano López era parte de la comisión asignada para evaluar el problema de la enseñanza de las matemáticas en la carrera de física . Presentó un punto de vista interesante sobre cómo hacer modificaciones a los planes de estudios . 

 Hace 40 años 
 https://t.co/ZFE8u9AxRn https://t.co/QBntJqc8ME",0,0,1
Todo parece indicar que existen volcanes en Plutón que arrojan agua y hielo a la superficie congelada . ( NASA / John Hopkins ) https://t.co/lgUnabwlgG,0,1,0
"En el mes de febrero , la @RevistaComoVes te cuenta de un laboratorio inmerso en una mina para detectar materia oscura . 

 ¡ Suscríbete y entérate de todo ! 
 https://t.co/IMWQBad87l https://t.co/vp9UK2LH8 g",0,1,1
"¿ Cuántas estrellas y meteoros se pierden por la contaminación lumínica ? Así se ven las Perseidas . A la izquierda una imagen desde un cielo oscuro rural ( Bortle 2 ) , a la derecha un cielo semi rural ( Bortle 4 ) . 

 Crédito : Petr Horalek y Tomas Slovinsky . https://t.co/GDv5Gk2y84",1,1,1
"Podrían existir estrellas más compactas que las de neutrones , formados de cuarcs . Estarían formadas de una sopa de cuarcs como los de los neutrones y protones , además de cuarcs más pesados . ( Universe Today ) https://t.co/t3LRTYYXr3",1,1,1
"# AmbienteyNaturaleza | ¡ Consumimos demasiado plástico y dañamos al planeta ! 😵 Peo los bioplásticos pueden ser una alternativa .   Lee al respecto en # CienciaUNAM 
 https://t.co/Gx5rk1XmtS",0,0,0
"4 . ¿ La perrita Laika fue la primera especie animal en viajar al espacio ? 

 Las agencias espaciales han mandado de todo : monos , gatos , ratones , moscas , peces , medusas , ranas , escorpiones , abejas , hormigas , gusanos , tortugas … ¡ Hasta cucarachas ! 🫠",0,0,0
"# ImagendelDía 📸 | El quetzal es una especie de ave de la familia de los trogones . El área en el que habita se ubica entre México y América Central . La palabra quetzal viene del náhuatl quetzalli , que puede traducirse como "" cola larga de plumas brillantes "" . https://t.co/i3l8mBivDd",0,0,0
El calentamiento global es una realidad . Cada uno de los 197 países del mundo deben transitar a energías limpias . Aunque México sólo produzca el 2% de los gases de efecto invernadero debe disminuir su contaminación . De otra manera cada día habrá más tragedias.(OAN ) https://t.co/PA8Nznec40,1,1,1
¿ Qué tienen en común la astronomía y los deportes ? https://t.co/hU4KnI8yhV,0,0,0
"D A T O   C U R I O S O 

 Los escorpiones son los únicos animales que se suicidan . Lo hacen una vez que no pueden escapar de una situación de peligro ; muy rara vez los mata otro animal . Siempre son ellos los que terminan con su vida . 

 # Escorpion # escorpión # animales # DatoCurioso https://t.co/CZex7N8P3c",0,0,0
En el núcleo de la galaxia espiral NGC 7727 uno de los telescopios a cargo de ESO descubrió dos hoyos negros supermasivos en el núcleo . https://t.co/2G41cqqUfS,0,1,1
